folder,filename,image_ok,mask_ok,image_width,image_height,mask_width,mask_height,same_size
dataA,02_00_000.png,True,True,800,600,800,600,True
dataA,02_00_001.png,True,True,800,600,800,600,True
dataA,02_00_010.png,True,True,800,600,800,600,True
dataA,02_00_011.png,True,True,800,600,800,600,True
dataA,02_00_020.png,True,True,800,600,800,600,True
dataA,02_00_021.png,True,True,800,600,800,600,True
dataA,02_00_030.png,True,True,800,600,800,600,True
dataA,02_00_031.png,True,True,800,600,800,600,True
dataA,02_00_040.png,True,True,800,600,800,600,True
dataA,02_00_041.png,True,True,800,600,800,600,True
dataA,02_00_050.png,True,True,800,600,800,600,True
dataA,02_00_051.png,True,True,800,600,800,600,True
dataA,02_00_060.png,True,True,800,600,800,600,True
dataA,02_00_061.png,True,True,800,600,800,600,True
dataA,02_00_070.png,True,True,800,600,800,600,True
dataA,02_00_071.png,True,True,800,600,800,600,True
dataA,02_00_080.png,True,True,800,600,800,600,True
dataA,02_00_081.png,True,True,800,600,800,600,True
dataA,02_00_090.png,True,True,800,600,800,600,True
dataA,02_00_091.png,True,True,800,600,800,600,True
dataA,02_00_100.png,True,True,800,600,800,600,True
dataA,02_00_101.png,True,True,800,600,800,600,True
dataA,02_00_110.png,True,True,800,600,800,600,True
dataA,02_00_111.png,True,True,800,600,800,600,True
dataA,02_00_120.png,True,True,800,600,800,600,True
dataA,02_00_121.png,True,True,800,600,800,600,True
dataA,02_00_130.png,True,True,800,600,800,600,True
dataA,02_00_131.png,True,True,800,600,800,600,True
dataA,02_00_140.png,True,True,800,600,800,600,True
dataA,02_00_141.png,True,True,800,600,800,600,True
dataA,02_00_150.png,True,True,800,600,800,600,True
dataA,02_00_151.png,True,True,800,600,800,600,True
dataA,02_00_160.png,True,True,800,600,800,600,True
dataA,02_00_161.png,True,True,800,600,800,600,True
dataA,02_00_170.png,True,True,800,600,800,600,True
dataA,02_00_171.png,True,True,800,600,800,600,True
dataA,02_00_180.png,True,True,800,600,800,600,True
dataA,02_00_181.png,True,True,800,600,800,600,True
dataA,02_00_190.png,True,True,800,600,800,600,True
dataA,02_00_191.png,True,True,800,600,800,600,True
dataA,02_00_200.png,True,True,800,600,800,600,True
dataA,02_00_201.png,True,True,800,600,800,600,True
dataA,02_00_210.png,True,True,800,600,800,600,True
dataA,02_00_211.png,True,True,800,600,800,600,True
dataA,02_00_220.png,True,True,800,600,800,600,True
dataA,02_00_221.png,True,True,800,600,800,600,True
dataA,02_00_230.png,True,True,800,600,800,600,True
dataA,02_00_231.png,True,True,800,600,800,600,True
dataA,02_00_240.png,True,True,800,600,800,600,True
dataA,02_00_241.png,True,True,800,600,800,600,True
dataA,02_01_000.png,True,True,800,600,800,600,True
dataA,02_01_001.png,True,True,800,600,800,600,True
dataA,02_01_010.png,True,True,800,600,800,600,True
dataA,02_01_011.png,True,True,800,600,800,600,True
dataA,02_01_020.png,True,True,800,600,800,600,True
dataA,02_01_021.png,True,True,800,600,800,600,True
dataA,02_01_030.png,True,True,800,600,800,600,True
dataA,02_01_031.png,True,True,800,600,800,600,True
dataA,02_01_040.png,True,True,800,600,800,600,True
dataA,02_01_041.png,True,True,800,600,800,600,True
dataA,02_01_050.png,True,True,800,600,800,600,True
dataA,02_01_051.png,True,True,800,600,800,600,True
dataA,02_01_060.png,True,True,800,600,800,600,True
dataA,02_01_061.png,True,True,800,600,800,600,True
dataA,02_01_070.png,True,True,800,600,800,600,True
dataA,02_01_071.png,True,True,800,600,800,600,True
dataA,02_01_080.png,True,True,800,600,800,600,True
dataA,02_01_081.png,True,True,800,600,800,600,True
dataA,02_01_090.png,True,True,800,600,800,600,True
dataA,02_01_091.png,True,True,800,600,800,600,True
dataA,02_01_100.png,True,True,800,600,800,600,True
dataA,02_01_101.png,True,True,800,600,800,600,True
dataA,02_01_110.png,True,True,800,600,800,600,True
dataA,02_01_111.png,True,True,800,600,800,600,True
dataA,02_01_120.png,True,True,800,600,800,600,True
dataA,02_01_121.png,True,True,800,600,800,600,True
dataA,02_01_130.png,True,True,800,600,800,600,True
dataA,02_01_131.png,True,True,800,600,800,600,True
dataA,02_01_140.png,True,True,800,600,800,600,True
dataA,02_01_141.png,True,True,800,600,800,600,True
dataA,02_01_150.png,True,True,800,600,800,600,True
dataA,02_01_151.png,True,True,800,600,800,600,True
dataA,02_01_160.png,True,True,800,600,800,600,True
dataA,02_01_161.png,True,True,800,600,800,600,True
dataA,02_01_170.png,True,True,800,600,800,600,True
dataA,02_01_171.png,True,True,800,600,800,600,True
dataA,02_01_180.png,True,True,800,600,800,600,True
dataA,02_01_181.png,True,True,800,600,800,600,True
dataA,02_01_190.png,True,True,800,600,800,600,True
dataA,02_01_191.png,True,True,800,600,800,600,True
dataA,02_01_200.png,True,True,800,600,800,600,True
dataA,02_01_201.png,True,True,800,600,800,600,True
dataA,02_01_210.png,True,True,800,600,800,600,True
dataA,02_01_211.png,True,True,800,600,800,600,True
dataA,02_01_220.png,True,True,800,600,800,600,True
dataA,02_01_221.png,True,True,800,600,800,600,True
dataA,02_01_230.png,True,True,800,600,800,600,True
dataA,02_01_231.png,True,True,800,600,800,600,True
dataA,02_01_240.png,True,True,800,600,800,600,True
dataA,02_01_241.png,True,True,800,600,800,600,True
dataA,02_02_000.png,True,True,800,600,800,600,True
dataA,02_02_001.png,True,True,800,600,800,600,True
dataA,02_02_010.png,True,True,800,600,800,600,True
dataA,02_02_011.png,True,True,800,600,800,600,True
dataA,02_02_020.png,True,True,800,600,800,600,True
dataA,02_02_021.png,True,True,800,600,800,600,True
dataA,02_02_030.png,True,True,800,600,800,600,True
dataA,02_02_031.png,True,True,800,600,800,600,True
dataA,02_02_040.png,True,True,800,600,800,600,True
dataA,02_02_041.png,True,True,800,600,800,600,True
dataA,02_02_050.png,True,True,800,600,800,600,True
dataA,02_02_051.png,True,True,800,600,800,600,True
dataA,02_02_060.png,True,True,800,600,800,600,True
dataA,02_02_061.png,True,True,800,600,800,600,True
dataA,02_02_070.png,True,True,800,600,800,600,True
dataA,02_02_071.png,True,True,800,600,800,600,True
dataA,02_02_080.png,True,True,800,600,800,600,True
dataA,02_02_081.png,True,True,800,600,800,600,True
dataA,02_02_090.png,True,True,800,600,800,600,True
dataA,02_02_091.png,True,True,800,600,800,600,True
dataA,02_02_100.png,True,True,800,600,800,600,True
dataA,02_02_101.png,True,True,800,600,800,600,True
dataA,02_02_110.png,True,True,800,600,800,600,True
dataA,02_02_111.png,True,True,800,600,800,600,True
dataA,02_02_120.png,True,True,800,600,800,600,True
dataA,02_02_121.png,True,True,800,600,800,600,True
dataA,02_02_130.png,True,True,800,600,800,600,True
dataA,02_02_131.png,True,True,800,600,800,600,True
