class_id,class_name,estimated_training_pixels,frequency,loss_weight
0,Unlabelled,26031737,0.3138471378279321,0.1393486252576366
1,Building,7021767,0.08465672019675925,0.40329472203534483
2,Fence,834445,0.010060341917438272,1.3553455021836287
3,Other,857259,0.010335394965277777,1.3432366869427772
4,Pedestrian,5328,6.423611111111112e-05,2.0206681701776614
5,Pole,404179,0.004872914255401235,1.633864310185416
6,Road line,624849,0.007533383969907407,1.477911597083682
7,Road,16162773,0.1948636791087963,0.2062446862658301
8,Sidewalk,6517139,0.07857275993441358,0.4269865019999874
9,Vegetation,10299664,0.1241761188271605,0.2980423934058346
10,Vehicle,13537357,0.16321080488040124,0.23861004844331923
11,Wall,581575,0.007011658468364198,1.5060729913126576
12,Traffic sign,65928,0.000794849537037037,1.9503737647062243
